,Lat,Lon,Operator,Date
0,34.92207,-117.92622,Spin,2021-05-17
1,34.92204,-117.92624,Spin,2021-05-17
2,34.92314,-117.90552,Spin,2021-05-17
3,34.92395,-117.89044,Spin,2021-05-17
4,34.914,-117.93668,Spin,2021-05-17
5,34.92293,-117.90535,Spin,2021-05-17
6,34.92296,-117.90531,Spin,2021-05-17
7,34.92295,-117.90534,Spin,2021-05-17
8,34.92294,-117.90533,Spin,2021-05-17
9,34.92398,-117.89047,Spin,2021-05-17
10,34.92293,-117.90533,Spin,2021-05-17
11,34.9231,-117.90551,Spin,2021-05-17
12,34.92317,-117.90554,Spin,2021-05-17
13,34.914,-117.93665,Spin,2021-05-17
14,34.92204,-117.92623,Spin,2021-05-17
15,34.92206,-117.92622,Spin,2021-05-17
16,34.92313,-117.90552,Spin,2021-05-17
17,34.924,-117.89043,Spin,2021-05-17
18,34.92206,-117.92623,Spin,2021-05-17
19,34.92397,-117.89043,Spin,2021-05-17
20,34.924,-117.89047,Spin,2021-05-17
21,34.92292,-117.90534,Spin,2021-05-17
22,34.92311,-117.90552,Spin,2021-05-17
23,34.92314,-117.90553,Spin,2021-05-17
24,34.92204,-117.92623,Spin,2021-05-17
25,34.92202,-117.92619,Spin,2021-05-17
26,34.92295,-117.90533,Spin,2021-05-17
27,34.92203,-117.92624,Spin,2021-05-17
28,34.92313,-117.90551,Spin,2021-05-17
29,34.92294,-117.90531,Spin,2021-05-17
30,34.914,-117.93665,Spin,2021-05-17
31,34.92314,-117.90551,Spin,2021-05-17
